Name,SMILES,BSEP ACTIVITY,,,,,,,
50775605,CO[C@@H]1[C@@H](C(OC)=O)[C@H]([C@@H]2C[C@H]1OC(c3cc(OC)c(OC)c(OC)c3)=O)C[C@@H](N4C2)c5c(c(c6[nH]5)ccc(OC)c6)CC4,1,,,,,,,
50375363,CCC(O[C@@]1(C(CCl)=O)[C@](C)([C@H]2C[C@@H]1C)C[C@H](O)[C@@](F)([C@H]23)[C@](C)(C(=C4)CC3)C=CC4=O)=O,1,,,,,,,
51350495,CCCCc1n(Cc2ccc(c3c(c4[nH]nnn4)cccc3)cc2)c(CO)c(Cl)n1,1,,,,,,,
50777112,CCCCc1n(Cc2ccc(c3c(c4n[nH]nn4)cccc3)cc2)c(CO)c(Cl)n1,1,,,,,,,
50754509,CCCN(C(Cc1n(c2nc1c3ccc(Cl)cc3)cc(Cl)cc2)=O)CCC,1,,,,,,,
50739704,C[C@H]1[C@@](C(CCl)=O)(O)[C@](C)([C@H]2C1)C[C@H](O)[C@@](Cl)([C@H]23)[C@](C)(C(=C4)CC3)C=CC4=O,1,,,,,,,
50774827,C[C@H]([C@H](NC([C@H]1NC(=O)[C@H]([C@H](O)C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c(c3[nH]c2)cccc3)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](NC([C@@H](Cc5ccccc5)N)=O)CSSC1)=O)CO)O,1,,,,,,,
50775223,Clc1c(C2S\C(=C(\n3cncc3)/C#N)\SC2)cccc1,1,,,,,,,
50774811,CO[C@H]([C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)/C(=O)Nc(c(c1c2c(C(=O)[C@]34C)c(c(C)c1O)O3)O)c(\C=N\N5CCN(C6CCCC6)CC5)c2O)\C=C\O4,1,,,,,,,
50774965,Cc1c(C(Nc2cc(C)c(C(N3c(c4C(O)CCC3)ccc(Cl)c4)=O)cc2)=O)cccc1,1,,,,,,,
50775610,CC[C@@H](C(=O)C[C@H](O)[C@@H](C)[C@@H](\C(=C\[C@H]1C[C@@H](OC)[C@@H](Cl)CC1)\C)OC(=O)[C@@H](N2C(=O)C(=O)[C@]3(O)O[C@@H]([C@@H](OC)C[C@H]3C)[C@@H](OC)C[C@H]4C)CCCC2)\C=C(\C4)/C,1,,,,,,,
50739215,C[C@H]1[C@H]2[C@]([C@H]3[C@]([C@](C)([C@H](\C(=C(\C(=O)O)/CCC=C(C)C)\[C@H]4OC(=O)C)C[C@H]3O)C4)(C)CC2)(C)CC[C@H]1O,1,,,,,,,
50739768,COCCOC(C(C(c1cc([N+](=O)[O-])ccc1)C(C(OC(C)C)=O)=C(C)N2)=C2C)=O,1,,,,,,,
50739211,CN(c1nc(Nc2cc(S(=O)(=O)C)c(C)cc2)ncc1)c3cc(c4cc3)nn(C)c4C,1,,,,,,,
50774868,CN(c1nc(Nc2cc(S(=O)(=O)N)c(C)cc2)ncc1)c3cc(c4cc3)nn(C)c4C,1,,,,,,,
50739717,C[C@@H]1[C@@](C(CO)=O)(O)[C@](C)([C@H]2C1)C[C@H](O)[C@@](Cl)([C@H]23)[C@](C)(C(=C4)CC3)C=CC4=O,1,,,,,,,
50739718,C[C@@H]([C@@H]1[C@](C)([C@H]2CC1)CC[C@@H]([C@H]23)[C@](C)([C@@H]4C[C@H]3O)CC[C@@H](O)C4)CCC(=O)O,1,,,,,,,
50739210,COc1c(OCCCN2CCOCC2)cc(c3c1)c(Nc4cc(Cl)c(F)cc4)ncn3,1,,,,,,,
50739686,O=S(c1ccccc1)CCC2C(=O)N(c3ccccc3)N(c4ccccc4)C2=O,1,,,,,,,
51086418,CC1([C@H](c2ccccc2)N([C@@H]3CC[C@@H](c4cc(c5ncccn5)c(N)nc4)CC3)C(=O)O1)C,1,,,,,,,
50777115,COc1c(Cc2c(c3n(C)c2)cc(NC(OC4CCCC4)=O)cc3)ccc(C(NS(c5c(C)cccc5)(=O)=O)=O)c1,1,,,,,,,
50739724,N[C@H](C(=O)O)Cc1cc(I)c(Oc2cc(I)c(O)cc2)c(I)c1,1,,,,,,,
50375409,CO[C@H]([C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)/C(=O)Nc(c(c1c2c(C(=O)[C@]34C)c(c(C)c1O)O3)O)c(\C=N\N5CCN(C)CC5)c2O)\C=C\O4,1,,,,,,,
50771824,CCCCNC(c1cc(NS(c2c(Cl)cc(Cl)cc2)(=O)=O)c(Oc3c(OC)cc(CC(=O)O)cc3)cc1)=O,1,,,,,,,
50774900,COc1cc2c(C(C)(C)C(=O)N(CCc3ccc(S(NC(NC4CCCCC4)=O)(=O)=O)cc3)C2=O)cc1,1,,,,,,,
50739572,Cc1c(C(N[C@H]([C@@H](CN2[C@H](C(NC(C)(C)C)=O)C[C@@H]([C@H]3C2)CCCC3)O)CSc4ccccc4)=O)cccc1O,1,,,,,,,
50739680,CCOC([C@@]1(OC1)CCCCCCOc2ccc(Cl)cc2)=O,1,,,,,,,
50775606,CCOC(N1CCC(=C2c(c3CCc(c24)cc(Cl)cc4)nccc3)CC1)=O,1,,,,,,,
